課程名稱,授課教師,學期,A+,A,A以下,A-以上,A-,A-以下,B+以上,B+,B+以下,B以上,B,B以下,B-以上,B-,B-以下,C+以上,C+,C+以下,C以上,C,C以下,C-以上,C-,F
太極拳初級,游添燈,112-2,9.23,26.15,,,,,,,,,,,,,,,,,,,,,,
Python 計算機程式設計,張傑帆,112-2,27.94,30.88,,,,,,,,,,,,,,,,,,,,,,
中國史二,衣若蘭,112-2,27.4,53.42,,,,,,,,,,,,,,,,,,,,,,
中級會計學下,吳淑玲,112-2,33.02,,,,,,,,,,,,,,,,,,,,,,,
中級會計學下,林琬琬,112-2,20,,,,,,,,,,,,,,,,,,,,,,,
中華民國憲法及政府二,湯德宗,112-2,4.17,7.29,,,,,,,,,,,,,,,,,,,,,,
中華民國憲法及政府二,蔡季廷,112-2,,,,,16.48,,,,,,,,,,,,,,,,,,,
乳品生物技術,陳明汝,112-2,18.18,36.36,,,,,,,,,,,,,,,,,,,,,,
人類學史,王梅霞,112-2,11.54,42.31,,,,,,,,,,,,,,,,,,,,,,
以Excel進行資料分析,林友瑜,112-2,20.69,,,,,,,,,,,,,,,,,,,,,,,
以Excel進行資料分析,林友瑜,112-2,20.21,,,,,,,,,,,,,,,,,,,,,,,
作業管理,郭佳瑋,112-2,,25.33,,,32,,,42.67,,,,,,,,,,,,,,,,
保險法,蔡英欣,112-2,12.17,24.35,,,,,,,,,,,,,,,,,,,,,,
個體經濟學下,黃貞穎,112-2,9.78,8.7,,,,,,,,,,,,,,,,,,,,,,
偏微分方程導論,夏俊雄,112-2,,,,,,,,,,,5.71,,,,,,,,,,,,,
債編總論一,吳從周,112-2,23.84,17.88,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國防政策,余宗基,112-2,5.97,16.92,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍,112-2,,,,,34.88,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍,112-2,,,,,29.41,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－防衛動員,余宗基,112-2,20.1,,,,,,,,,,,,,,,,,,,,,,,
全球通識講座-決策者,徐斯勤,112-2,77.13,,,,,,,,,,,,,,,,,,,,,,,
凸函數最佳化,蘇柏青,112-2,39.32,35.9,,,,,,,,,,,,,,,,,,,,,,
分散式機器學習系統,周承復,112-2,50,,,,,,,,,,,,,,,,,,,,,,,
刑事政策專題研究,李茂生、許恒達、周漾沂、謝煜偉、黃種甲合授,112-2,12.38,28.57,,,,,,,,,,,,,,,,,,,,,,
刑事訴訟法,林鈺雄,112-2,,,,,,,,17.24,,,,,,,,,,,,,,,,
刑事訴訟法,林鈺雄,112-2,,,,,,,,,,,,,,13.79,,,,,,,,,,
刑法總則二,王皇玉,112-2,20.29,20.29,,,,,,,,,,,,,,,,,,,,,,
刑法總則二,許恒達,112-2,20,24.62,,,,,,,,,,,,,,,,,,,,,,
協調溝通與衝突管理,徐顯國,112-2,22.22,,,,,,,,,,,,,,,,,,,,,,,
可可與巧克力學,王裕文,112-2,34.38,37.5,,,,,,,,,,,,,,,,,,,,,,
史學導論,傅揚,112-2,28.26,26.09,,,,,,,,,,,,,,,,,,,,,,
哲學概論,苑舉正,112-2,69,,,,,,,,,,,,,,,,,,,,,,,
哲學概論,苑舉正,112-2,21.88,20.83,,,,,,,,,,,,,,,,,,,,,,
商事法,游啟璋,112-2,37.1,,,,,,,,,,,,,,,,,,,,,,,
商事法,陳俊元,112-2,,,,,32.04,,,,,,,,,,,,,,,,,,,
商事法,吳盈德,112-2,6.52,92.39,,,,,,,,,,,,,,,,,,,,,,
商事法,洪瑞璨,112-2,13.79,12.07,,,,,,,,,,,,,,,,,,,,,,
商業應用軟體,外聘老師王春笙,112-2,81.82,,,,,,,,,,,,,,,,,,,,,,,
商管程式設計,孔令傑,112-2,71.89,,,,,,,,,,,,,,,,,,,,,,,
固態電子學,老胡,112-2,45.16,,,,,,,,,,,,,,,,,,,,,,,
國會與憲政民主,劉有恆,112-2,52.03,,,,,,,,,,,,,,,,,,,,,,,
國民法官必備之基礎鑑識科學,翁德怡,112-2,87.18,,,,,,,,,,,,,,,,,,,,,,,
國際關係二,廖小娟,112-2,11.67,23.33,,,,,,,,,,,,,,,,,,,,,,
土壤力學,邱俊翔,112-2,20,,,,,,,,,,,,,8,,,,,,,,,,
地質調查導論二,合授,112-2,3.12,53.12,,,,,,,,,,,,,,,,,,,,,,
大學國文：文化思想與寫作（二,王士銓,112-2,66.67,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,簡凱廷,112-2,70.27,,,,,,,,,,,,,,,,,,,,,,,
大學國文：閱讀與寫作（二）,賴昶亘,112-2,26.32,,,,,,,,,,,,,,,,,,,,,,,
大氣動力學一,吳俊傑,112-2,20,8,,,,,,,,,,,,,,,,,,,,,,
大氣輻射學,林依依,112-2,18.18,15.15,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,82.61,,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,88.89,,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,71.11,,,,,,,,,,,,,,,,,,,,,,,
家事事件法,許士宦,112-2,,,,,,,,23.08,,,,,,,,,,,,,,,,
寄生蟲學甲,蕭信宏,112-2,69.18,,,,,,,,,,,,,,,,,,,,,,,
密碼學導論,陳君明,112-2,,,,,,,,,,,4.07,,,,,,,,,,,,,
專利法,李素華,112-2,36.05,27.33,,,27.33,,,,,,,,,,,,,,,,,,,
小組討論二,謝正宜,112-2,16.2,,,,,,,,,,,,,,,,,,,,,,,
布農語一下,余榮德,112-2,70.97,29.03,,,,,,,,,,,,,,,,,,,,,,
建築導論,呂欽文,112-2,13.39,,,,,,,,,,,,,,,,,,,,,,,
微生物學免疫學及實驗,楊宏志,112-2,57.75,,,,,,,,,,,,,,,,,,,,,,,
微生物學實驗乙,楊宏志,112-2,72.09,,,,,,,,,,,,,,,,,,,,,,,
微積分3,陳榮凱,112-2,5.62,,,,,,,,,,,,,,,,,,,,,,,
微積分3,陳健樺,112-2,30.43,,,,,,,,,,,,,,,,,,,,,,,
微積分3,蔡國榮,112-2,43.7,,,,,,,,,,,,,,,,,,,,,,,
微積分3,彭俊文,112-2,19.38,,,,,,,,,,,,,,,,,,,,,,,
微積分4,蔡國榮,112-2,24.26,,,,,,,,,,,,,,,,,,,,,,,
微積分4,彭俊文,112-2,,,,,8.96,,,,,,,,,,,,,,,,,,,
微積分4 ─ 在經濟商管的應用,蔡雅如,112-2,19.29,,,,,,,,,,,,,,,,,,,,,,,
微積分4 ─ 在經濟商管的應用,蔡國榮,112-2,41.72,,,,,,,,,,,,,,,,,,,,,,,
愛的面面觀,齊肖齊,112-2,70,,,,,,,,,,,,,,,,,,,,,,,
我的生涯我探索,王秀槐,112-2,18.18,81.82,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0
手球初級,PE2050,112-2,97.14,,,,,,,,,,,,,,,,,,,,,,,
投資學,蕭湛東,112-2,42.59,,,,,,,,,,,,,,,,,,,,,,,
政治學二,童涵浦,112-2,10.38,,,,,,,,,,,,,,,,,,,,,,,
教育經濟學,駱明慶,112-2,18.18,54.55,,,,,,,,,,,,,,,,,,,,,,
數學之美,呂學一,112-2,28.22,,,,,,,,,,,,,,,,,,,,,,,
文學作品讀法下,王沐嵐,112-2,13.95,13.95,,,,,,,,,,,,,,,,,,,,,,
文藝復興史,陳慧宏,112-2,27.27,,,,,,,,,,,,,,,,,,,,,,,
日文一下,劉沅華,112-2,58.97,,,,,,,,,,,,,,,,,,,,,,,
日文一下,劉伊涵,112-2,53.85,46.15,,,,,,,,,,,,,,,,,,,,,,
日文一下,王憶雲,112-2,42.86,28.57,,,,,,,,,,,,,,,,,,,,,,
日文一下,劉伊涵,112-2,39.29,,,,,,,,,,,,,,,,,,,,,,,
日文下,黃意婷,112-2,38.46,,,,,,,,,,,,,,,,,,,,,,,
日文下,許惠晴,112-2,34.29,31.43,,,,,,,,,,,,,,,,,,,,,,
日文二下,曾寶儀,112-2,72.97,27.03,,,,,,,,,,,,,,,,,,,,,,
日文二下,石川隆男,112-2,78.12,,,,,,,,,,,,,,,,,,,,,,,
日本外交探討,何思慎,112-2,64.41,,,,,,,,,,,,,,,,,,,,,,,
日本文學與文化導讀,朱秋而,112-2,29.17,,,,,,,,,,,,,,,,,,,,,,,
普通化學二,鄭原中,112-2,53.23,,,,,,,,,,,,,,,,,,,,,,,
普通天文學,藍鼎文,112-2,34.74,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,曾祥非,112-2,39.36,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,謝伯讓,112-2,60.62,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,羅達中,112-2,77.73,22.27,,,,,,,,,,,,,,,,,,,,,,
普通心理學,周珮雯,112-2,73.86,,,,,,,,,,,,,,,,,,,,,,,
普通心理學,鄧善娟,112-2,48.92,,,,,,,,,,,,,,,,,,,,,,,
普通物理學乙,邱雅萍,112-2,47.37,,,,,,,,,,,,,,,,,,,,,,,
普通物理學甲下,梁國淦,112-2,41.33,,,,,,,,,,,,,,,,,,,,,,,
普通物理學甲下,呂榮祥,112-2,11.43,8.57,,,,,,,,,,,,,,,,,,,,,,
會計學原理下,尤琳蕙,112-2,65.45,,,,,,,,,,,,,,,,,,,,,,,
會計學原理下,尤琳蕙,112-2,61.02,,,,,,,,,,,,,,,,,,,,,,,
會計學甲一下,陳坤志,112-2,10.91,5.45,,,,,,,,,,,,,,,,,,,,,,
會計學甲一下,陳坤志,112-2,,,,,12.5,,,,,,,,,,,,,,,,,,,
會計師業務實戰研討,勤業眾信的老師,112-2,93.1,,,,,,,,,,,,,,,,,,,,,,,
有氧+塑身,有氧+塑身,112-2,25.53,,,,,,,,,,,,,,,,,,,,,,,
有氧塑身,賴韻宇,112-2,75,,,,,,,,,,,,,,,,,,,,,,,
東亞現代史,羅士傑,112-2,,28.95,,,,,,,,,,,,,,,,,,,,,,
東南亞文史學堂,高嘉謙,112-2,23.47,46.94,,,,,,,,,,,,,,,,,,,,,,
東西哲學家的生命智慧,李賢中,112-2,5.33,21.33,,,,,,,,,,,,,,,,,,,,,,
桌球初級,王翊澤,112-2,77.78,22.22,,,,,,,,,,,,,,,,,,,,,,
桌球初級,趙曉涵,112-2,98.18,,,,,,,,,,,,,,,,,,,,,,,
棒球初級,呂祐華,112-2,96.72,,,,,,,,,,,,,,,,,,,,,,,
棒球初級,PE2097,112-2,96.36,,,,,,,,,,,,,,,,,,,,,,,
森林醫學點線面,蘇大成,112-2,63.86,36.14,,,,,,,,,,,,,,,,,,,,,,
毒道之處～看不見的危機!,姜至剛,112-2,16.02,32.04,,,,,,,,,,,,,,,,,,,,,,
民事訴訟法甲下,吳從周,112-2,,,,,,,,,,,12.79,,,,,,,,,,,,,
民事訴訟法甲下,陳瑋佑,112-2,,,,,,,,,,,17.57,,,,,,,,,,,,,
民法債編各論,張譯文,112-2,,,,,,,,10.34,,,,,,,,,,,,,,,,
民法債編總論二,吳從周,112-2,23.84,,,,,,,,,,,,,,,,,,,,,,,
民法債編總論二,張譯文,112-2,,,,,,,,,,,11.7,,,,,,,,,,,,,
民法債編總論二,張譯文,112-2,15.96,,,,,,,,,,,,,,,,,,,,,,,
民法概要乙,李素華,112-2,41.45,24.87,,,,,,,,,,,,,,,,,,,,,,
民法身分法,黃詩淳,112-2,19.23,,,,,,,,,,,,,,,,,,,,,,,
法國近代史,秦曼儀,112-2,10.26,56.41,,,,,,,,,,,,,,,,,,,,,,
法律實習一下,林明鏘,112-2,13.64,50,,,,,,,,,,,,,,,,,,,,,,
法文一下,陳素麗,112-2,,,,,27.27,,,,,,,,,,,,,,,,,,,
海商法,蔡英欣,112-2,34.69,42.86,,,,,,,,,,,,,,,,,,,,,,
海峽兩岸關係史二,李君山,112-2,26.99,16.56,,,,,,,,,,,,,,,,,,,,,,
海洋科學概論,楊穎堅,112-2,21.58,,,,,,,,,,,,,,,,,,,,,,,
清代臺灣開發史,李文良,112-2,10.34,,,,,,,,,,,,,,,,,,,,,,,
游泳中級,林謙如,112-2,69.05,,,,,,,,,,,,,,,,,,,,,,,
演算法,孫紹華,112-2,,,,,7.69,,,,,,,,,,,,,,,,,,,
營建管理,林之謙,112-2,30,14,,,,,,,,,,,,,,,,,,,,,,
物質媒介身體經驗,謝筱玫（合授）,112-2,16.22,48.65,,,,,,,,,,,,,,,,,,,,,,
環境與健康,蘇大成,112-2,70.62,,,,,,,,,,,,,,,,,,,,,,,
生命教育跨領域實作,曾正忠,112-2,66.67,33.33,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0
生命美學,孫效智,112-2,42.11,57.89,,,,,,,,,,,,,,,,,,,,,,
生命美學,孫效智,112-2,42.11,31.57,,,21.05,,,,,,,,,,,,,,,,,,,
生成式人工智慧導論,李宏毅,112-2,87.08,,,,,,,,,,,,,,,,,,,,,,,
生活中的科技原理,饒梓明,112-2,28.18,,,,,,,,,,,,,,,,,,,,,,,
生物統計與流行病學,何奕倫,112-2,45.7,20.97,,,,,,,,,,,,,,,,,,,,,,
生物統計與流行病學,何奕倫,112-2,45.7,,,,,,,,,,,,,,,,,,,,,,,
生理學甲下,忘了,112-2,0,7.04,,,24.65,,,,,,,,,,,,,,,,,,,
疼痛. 健康. 幸福感,陳慧玲,112-2,90.65,,,,,,,,,,,,,,,,,,,,,,,
疼痛健康幸福感,醫學院老師,112-2,90.65,,,,,,,,,,,,,,,,,,,,,,,
社會學,劉仲恩,112-2,30.77,22.49,,,,,,,,,,,,,,,,,,,,,,
社會學,蘇國賢,112-2,38.16,17.11,,,,,,,,,,,,,,,,,,,,,,
社會安全制度與法律,孫迺翊,112-2,,,,,,,,,,,,,,,,,4.35,,,,,,,
票據及支付工具法,邵慶平,112-2,13.64,,,,,,,22.73,,,,,,,,,,,,,,,,
程式設計與網路資料搜集,魏聖倫,112-2,42.5,,,,,,,,,,,,,,,,,,,,,,,
管理會計與數據分析下,曾智揚,112-2,27.63,23.68,,,,,,,,,,,,,,,,,,,,,,
管理科學模式,余峻瑜,112-2,24.32,75.68,,,,,,,,,,,,,,,,,,,,,,
籃球初級,曾郁嫻,112-2,74.19,,,,,,,,,,,,,,,,,,,,,,,
細胞生物學,陳彥榮,112-2,54.17,,,,,,,,,,,,,,,,,,,,,,,
組織行為學,劉怡靖,112-2,18.56,26.8,,,54.64,,,,,,,,,,,,,,,,,,,
組織運作導論,瞿志豪,112-2,90.54,,,,,,,,,,,,,,,,,,,,,,,
統計Let’s GO,蘇士詠,112-2,65.85,26.83,,,,,,,,,,,,,,,,,,,,,,
統計學一下,陳郁蕙,112-2,29.31,19.83,,,,,,,,,,,,,,,,,,,,,,
統計與大氣科學,羅敏輝,112-2,,,,,24,,,,,,,,,,,,,,,,,,,
經濟學原理下,陳暐,112-2,6.9,,,,,,,,,,,,,,,,,,,,,,,
網球初級,趙曉涵,112-2,80.43,,,,,,,,,,,,,,,,,,,,,,,
網球初級,連玉輝,112-2,18.42,,,,,,,,,,,,,,,,,,,,,,,
網路管理與系統管理實驗,蔡欣穆,112-2,,,,,7.94,,,,,,,,,,,,,,,,,,,
總體經濟學,謝德宗,112-2,,,,,,,,,,,15.19,,,,,,,,,,,,,
總體經濟學下,朱玉琦,112-2,,,,,10,,,,,,,,,,,,,,,,,,,
總體經濟學原理,吳中書,112-2,29.94,,,,,,,,,,,,,,,,,,,,,,,
總體經濟學原理與實習,林明仁,112-2,13.29,17.13,,,,,,,,,,,,,,,,,,,,,,
總體經濟學原理與實習,樊家忠,112-2,10.91,16.82,,,,,,,,,,,,,,,,,,,,,,
羽球中級,陳志一,112-2,,,,,,,,12.86,,,,,,,,,,,,,,,,
羽球初級,黃欽永,112-2,18.75,,,,,,,,,,,,,,,,,,,,,,,
羽球初級,黃國恩,112-2,39.13,,,,,,,,,,,,,,,,,,,,,,,
職場倫理與職場精神,洪英正,112-2,27.12,,,,,,,,,,,,,,,,,,,,,,,
自然語言處理,陳信希,112-2,,,,,16.36,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)二,高維泓,112-2,45.45,,,,,,,,,,,,,,,,,,,,,,,
英文(附一小時英聽)二,許文僊,112-2,25.71,51.43,,,,,,,,,,,,,,,,,,,,,,
英文(附二小時英聽)二,楊乃冬,112-2,22.58,,,,,,,,,,,,,,,,,,,,,,,
英文（附一小時英聽）二,徐以心,112-2,87.1,,,,,,,,,,,,,,,,,,,,,,,
行政學二,孫煒,112-2,40.45,17.98,,,,,,,,,,,,,,,,,,,,,,
行政救濟法,陳衍任,112-2,,,,,,,,,,,7.08,,,5.31,,,,,,,,,,
行政法,林明鏘,112-2,50,,,,,,,,,,,,,,,,,,,,,,,
衛生政策與健康保險,郭年真,112-2,20.62,,,,,,,,,,,,,,,,,,,,,,,
西洋文學概論二,凱羅榮,112-2,,,,,23.68,,,,,,,,,,,,,,,,,,,
西班牙文一下,馬德睿,112-2,47.83,,,,,,,,,,,,,,,,,,,,,,,
西班牙文一下,劉姿妤,112-2,45.83,,,,,,,,,,,,,,,,,,,,,,,
視覺化與現代資料科學,郭耀仁,112-2,90.46,,,,,,,,,,,,,,,,,,,,,,,
計算機系統實驗,CSIE,112-2,6.45,,,,,,,,,,,,,,,,,,,,,,,
計算機系統實驗,鄭龍磻,112-2,,,,,,,,20.97,,,,,,,,,,,,,,,,
計量導論,林岳祥,112-2,72.16,16.49,,,,,,,,,,,,,,,,,,,,,,
計量經濟學導論暨實習,ECON@)@#,112-2,42.37,,,,,,,,,,,,,,,,,,,,,,,
證券交易法,林仁光,112-2,7.75,,,,,,,,,,,,,,,,,,,,,,,
財務管理,張晏誠,112-2,20,80,,,,,,,,,,,,,,,,,,,,,,
財政學,李顯峰,112-2,12.31,18.46,,,,,,,,,,,,,,,,,,,,,,
貨幣銀行學二,陳南光,112-2,,,,,25.45,,,,,,,,,,,,,,,,,,,
貨幣銀行學二,李怡庭,112-2,,,,,18.03,,,,,,,,,,,,,,,,,,,
資料結構,吳沛遠,112-2,15.38,,,,,,,,,,,,,,,,,,,,,,,
資料結構與演算法,蔡欣穆,112-2,7.26,12.9,,,,,,,,,,,,,,,,,,,,,,
資料結構與演算法,林軒田、蔡欣穆,112-2,7.26,12.9,,,,,,,,,,,,,,,,,,,,,,
足球初級,楊裕隆,112-2,39.22,,,,,,,,,,,,,,,,,,,,,,,
跆拳道初級,陳君鳳,112-2,26,48,,,,,,,,,,,,,,,,,,,,,,
軌道工程,鍾志成,112-2,10.94,,,,,,,,,,,,,,,,,,,,,,,
農村生活臺語會話,沈原民,112-2,58.54,,,,,,,,,,,,,,,,,,,,,,,
近代臺灣的歷程,周婉窈,112-2,20.75,,,,,,,,,,,,,,,,,,,,,,,
邏輯,傅皓政,112-2,49.64,,,,,,,,,,,,,,,,,,,,,,,
邏輯思考與應用,王銀國,112-2,78.26,,,,,,,,,,,,,,,,,,,,,,,
鄂圖曼土耳其的文化、藝術及歷史,丁蕊,112-2,80.46,,,,,,,,,,,,,,,,,,,,,,,
醫學心理學,廖士程,112-2,51.12,48.88,,,,,,,,,,,,,,,,,,,,,,
醫學心理學,廖士程,112-2,51.12,,,,,,,,,,,,,,,,,,,,,,,
醫學與人文,陳彥元,112-2,32.56,67.44,,,,,,,,,,,,,,,,,,,,,,
醫學與人文,陳彥元,112-2,32.56,,,,,,,,,,,,,,,,,,,,,,,
醫學與生活,楊榮森,112-2,24.81,,,,,,,,,,,,,,,,,,,,,,,
醫學與生活,楊榮森,112-2,26.39,,,,,,,,,,,,,,,,,,,,,,,
醫學與生活,楊榮森,112-2,26.39,31.25,,,,,,,,,,,,,,,,,,,,,,
重量訓練,連家瑩,112-2,,24.14,,,41.38,,,34.48,,,,,,,,,,,,,,,,
金融計算,王之彥,112-2,71,,,,,,,,,,,,,,,,,,,,,,,
鋼琴作品與演奏欣賞,張欽全,112-2,85.54,,,,,,,,,,,,,,,,,,,,,,,
電子學二,林宗賢,112-2,15,17.5,,,,,,,,,,,,,,,,,,,,,,
電子學實驗二,劉宗德,112-2,36.06,,,,,,,,,,,,,,,,,,,,,,,
電影、信仰與道德,張毅民,112-2,59.52,,,,,,,,,,,,,,,,,,,,,,,
電磁學二,吳瑞北,112-2,27.27,,,,,,,,,,,,,,,,,,,,,,,
電腦視覺,簡韶逸,112-2,80.7,,,,,,,,,,,,,,,,,,,,,,,
電路學,金藝璘,112-2,18.92,,,,,,,,,,,,,,,,,,,,,,,
非訟事件法,陳瑋佑,112-2,26.02,21.14,,,,,,,,,,,,,,,,,,,,,,
韓文一下,李承珍,112-2,11.76,29.41,,,,,,,,,,,,,,,,,,,,,,
韓文一下,李相美,112-2,65.38,,,,,,,,,,,,,,,,,,,,,,,
預測、學習、與賽局,李彥寰,112-2,,,,,33.33,,,,,,,,,,,,,,,,,,,
食品與健康,沈立言,112-2,,,,,22.61,,,,,,,,,,,,,,,,,,,
食用昆蟲學,薛馬坦,112-2,61.45,,,,,,,,,,,,,,,,,,,,,,,
體適能(一),王翊澤,112-2,95.74,,,,,,,,,,,,,,,,,,,,,,,
高等數位訊號處理,丁建均,112-2,75.52,,,,,,,,,,,,,,,,,,,,,,,
政治學概論,王業立,112-1,20.4,,,,,,,,,,,,,,,,,,,,,,,
日文一上,曾寶儀,112-1,65,10,,,,,,,,,,,,,,,,,,,,,,
Python 計算機程式設計,張傑帆,112-1,26.19,25,,,,,,,,,,,,,,,,,,,,,,
中國大陸政府與政治,陶儀芬,112-1,17.92,,,,,,,,,,,,,,,,,,,,,,,
中國政治哲學一,安井伸介,112-1,8.06,25.81,,,,,,,,,,,,,,,,,,,,,,
中級日語上,林慧君,112-1,18.92,,,,,,,,,,,,,,,,,,,,,,,
中級會計學上,吳淑玲,112-1,59.83,,,,,,,,,,,,,,,,,,,,,,,
中級會計學上,廖芝嫻,112-1,50,,,,,,,,,,,,,,,,,,,,,,,
中華民國對外關係,陳世民,112-1,9.8,,,,,,,,,,,,,,,,,,,,,,,
中華民國憲法及政府一,蔡季廷,112-1,7.62,9.52,,,20,,,11.43,,,20.95,,,,,,,,,,,,,
中華民國憲法及政府一,湯德宗,112-1,,,,,15.38,,,,,,,,,,,,,,,,,,,
中華民國憲法與政府一,蔡季廷,112-1,7.62,9.52,,,,,,,,,,,,,,,,,,,,,,
人文學資訊資源與服務,蔡天怡,112-1,3.57,46.43,,,,,,,,,,,,,,,,,,,,,,
保齡球,洪巧菱,112-1,75,,,,,,,,,,,,,,,,,,,,,,,
個體經濟學上,黃貞穎,112-1,6.38,7.45,,,,,,,,,,,,,,,,,,,,,,
個體經濟學原理,宋玉生,112-1,44.68,,,,,,,,,,,,,,,,,,,,,,,
個體經濟學原理與實習,樊家忠,112-1,12.44,13.36,,,15.21,,,,,,,,,,,,,,,,,,,
個體經濟學原理與實習,林明仁,112-1,14.87,,,,15.51,,,,,,7.91,,,,,,,,,,,,,
個體經濟學原理與實習,江淳芳,112-1,,,,,,,,,,,16,,,,,,,,,,,,,
健康體適能,蔡秀華,112-1,32.65,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,陳逸杰,112-1,93.33,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,胡林煥,112-1,39.66,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,陳逸杰,112-1,89.66,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,楊裕隆,112-1,13.46,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,秀華蔡,112-1,32.65,26.53,,,40.82,,,,,,,,,,,,,,,,,,,
健康體適能,王學富,112-1,52.46,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,李永祥,112-1,80.36,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,林謙如,112-1,46.3,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,林聯喜,112-1,22.64,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,趙曉涵,112-1,88.37,9.3,,,2.33,,,,,,,,,,,,,,,,,,,
健康體適能,林威名,112-1,89.13,,,,,,,,,,,,,,,,,,,,,,,
健康體適能,呂祐華,112-1,93.1,,,,,,,,,,,,,,,,,,,,,,,
先進半導體與顯示技術,劉致為,112-1,34.21,32.02,,,33.77,,,,,,,,,,,,,,,,,,,
兒童文學,陳室如,112-1,66.67,,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－全民國防,余宗基,112-1,11.49,36.78,,,36.21,,,,,,,,,,,,,,,,,,,
公司治理與財務報表,傅文芳,112-1,62,38,,,,,,,,,,,,,,,,,,,,,,
分子美學,金必耀,112-1,30,,,,,,,,,,,,,,,,,,,,,,,
分散式金融導論,廖世偉,112-1,86.92,,,,,,,,,,,,,,,,,,,,,,,
分析化學一,廖尉斯,112-1,,,,,12.79,,,,,,,,,,,,,,,,,,,
分析導論一,陳俊全,112-1,6.82,17.05,,,,,,,,,,,,,,,,,,,,,,
刑事訴訟法,蘇凱平,112-1,12.36,21.35,,,,,,,,,,,,,,,,,,,,,,
刑法總則一,王皇玉,112-1,24.31,32.64,,,,,,,,,,,,,,,,,,,,,,
刑法總則一,王皇玉,112-1,,,,,29.86,,,,,,,,,,,,,,,,,,,
化工熱力學,林祥泰,112-1,11.86,8.47,,,,,,,,,,,,,,,,,,,,,,
參考資源,張郁蔚,112-1,13.04,23.19,,,,,,,,,,,,,,,,,,,,,,
史前史,陳瑪玲,112-1,,,,,27.45,,,,,,,,,,,,,,,,,,,
史學經典選讀：史記與兩漢書,閻鴻中,112-1,,,,,13.04,,,,,,,,,,,,,,,,,,,
商事法總論及公司法,曾宛如,112-1,11.33,18,,,,,,,,,,,,,,,,,,,,,,
國際公法一,蔡季廷,112-1,,,,,,,,18.6,,,,,,,,,,,,,,,,
國際政治理論一,唐欣偉,112-1,41.67,,,,,,,,,,,,,,,,,,,,,,,
國際關係一,廖小娟,112-1,25.4,,,,,,,,,,,,,,,,,,,,,,,
國際關係一,郭銘傑,112-1,88.93,,,,,,,,,,,,,,,,,,,,,,,
國際關係一,張登及,112-1,,,,,37.5,,,,,,,,,,,,,,,,,,,
國際關係概論,唐豪駿,112-1,40.26,,,,,,,,,,,,,,,,,,,,,,,
圖書資訊機構實務一,黃麗珉,112-1,44.23,,,,,,,,,,,,,,,,,,,,,,,
圖書館學導論,羅思嘉,112-1,,,,,,,,1.56,,,,,,,,,,,,,,,,
圖書館資訊系統,鄭瑋,112-1,70,,,,,,,,,,,,,,,,,,,,,,,
圖論一,戴尚年,112-1,23.91,,,,,,,,,,,,,,,,,,,,,,,
地理資訊系統應用,闕蓓德,112-1,,37.93,,,,,,,,,,,,,,,,,,,,,,
城市生態學,李婉儀,112-1,21.74,39.13,,,,,,,,,,,,,,,,,,,,,,
大學國文：文化思想與寫作（一）,曹美秀,112-1,10,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（一）,陳雀倩,112-1,62.86,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（一）,張麗麗,112-1,18.18,30.3,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（一）,潘少瑜,112-1,17.24,,,,,,,,,,,,,,,,,,,,,,,
大氣測計學,林博雄,112-1,55.36,,,,,,,,,,,,,,,,,,,,,,,
太平洋島嶼世界,童元昭,112-1,4.35,26.09,,,,,,,,,,,,,,,,,,,,,,
專利101：專利制度入門與基礎,管中微,112-1,80,20,,,,,,,,,,,,,,,,,,,,,,
小組討論一,謝正宜,112-1,13.89,,,,,,,,,,,,,,,,,,,,,,,
工程力學,胡明哲,112-1,19.23,,,,,,,,,,,,,,,,,,,,,,,
